company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Kroger (Ocado),"Romulus, Michigan",US,2021,95.0,USD,104.52,,12542,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Kwik Trip,"La Crosse, Wisconsin",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
LaBatt Breweries,"Edmonton, Alberta",CA,2021,119.0,USD,130.93,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Lakeside Refrigerated Services,"Logan, New Jersey",US,2021,,,,,1022,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Latitude 36 Foods,"Fairfield, Ohio",US,2021,,,,,3902,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Lavazza Group,"West Chester, Pennsylvania",US,2021,,,,,1022,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Leprino Foods,"Roswell, New Mexico",US,2021,,,,,1394,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.64
Leprino Foods Company,"Lemoore West, California",US,2021,,,,,4459,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Leprino Foods Company,"Lubbock, Texas",US,2021,,,,,68562,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Leprino Foods Company,"Roswell, New Mexico",US,2021,,,,,1486,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Lineage Logistics (Ph IV/V),"Stevens Point, Wisconsin",US,2021,55.0,USD,60.51,,27035,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Lineage Logistics (formerly Preferred Freezer),"Portsmouth, Virginia",US,2021,,,,,14864,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Maple Leaf Foods,"London, Ontario",CA,2021,,,,,59458,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2019,0.64
Maple Leaf Foods,"Winnipeg, Manitoba",CA,2021,144.0,USD,158.43,,7246,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Mark Anthony Brewing,"Columbia, South Carolina",US,2021,400.0,USD,440.09,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Mars Petcare,"Fort Smith, Arkansas",US,2021,117.0,USD,128.73,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Martin Bauer Group,"Bethlehem, Pennsylvania",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Martin's Potato Rolls,"Chambersburg, Pennsylvania",US,2021,,,,,24155,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Massimo Zanetti Beverage USA,"Suffolk, Virginia",US,2021,,,,,33073,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
McCain Foods,"Grand Falls, NB",CA,2021,61.0,USD,67.11,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.715
McCain Foods,"Othello, Washington",US,2021,300.0,USD,330.07,,15794,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
McClancy Seasoning,"Lancaster County, South Carolina",US,2021,,,,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Meati Foods,"Thornton, Colorado",US,2021,,,,,10684,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Merit Functional Foods,"Winnipeg, Manitoba",CA,2021,,,,,8733,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
"Michael Foods, Inc.","Gaylord, Minnesota",US,2021,,,,,372,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
"Michael Foods, Inc.","Wakefield, Nebraska",US,2021,,,,,465,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Mission Foods,"Plainfield, Indiana",US,2021,,,,,47473,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Mission Produce,"Laredo, Texas",US,2021,,,,,24341,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Molson Coors Beverage Company,"Montréal, Quebec",CA,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Mom's Meals,"Conyers, Georgia",US,2021,,,,,6968,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Mondel?z International,"Richmond, Virginia",US,2021,123.0,USD,135.33,,6317,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Monogram Food Solutions,"Dickson, Tennessee",US,2021,54.0,USD,59.41,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Monogram Foods,"Haverhill, Massachusetts",US,2021,,,,,11892,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
More Than Gourmet,"Akron, Ohio",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Nabati Foods,"Edmonton, Alberta",CA,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Nature's Fynd,"Marina Crossings, Illinois",US,2021,,,,,3252,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
